value
modelr
modeltools
moonBook
multcomp
munsell
mvtnorm
mycor
network
NineteenEightyR
nleqslv
nlme
nloptr
NLP
nnet
nnls
nortest
numDeriv
officer
oompaBase
openssl
openxlsx
ordinal
packrat
pacman
padr
paletteer
palr
pals
pan
pander
parallel
parallelMap
ParamHelpers
partykit
pastecs
PASWR
patchwork
pbapply
pbkrtest
pcaPP
peachythemes
PerfMeas
PerformanceAnalytics
pillar
pkgbuild
pkgconfig
pkgload
PKI
plogr
plotfunctions
plotGoogleMaps
plotly
pls
plyr
png
polynom
ppcor
prabclus
praise
prediction
prettyunits
pROC
processx
prodlim
progress
proj4
promises
proto
proxy
pryr
ps
psych
Publish
purrr
pwr
qap
quadprog
Quandl
quanteda
quantmod
QuantPsyc
quantreg
R.methodsS3
R.oo
R.utils
r2d3
R6
randomForest
ranger
RApiDatetime
rapidjsonr
rappdirs
rapportools
raster
rattle
rCharts
RColorBrewer
Rcpp
RcppArmadillo
RcppEigen
RcppParallel
RcppProgress
RcppRoll
RCurl
readbitmap
readr
readxl
rebus
rebus.base
rebus.datetimes
rebus.numbers
rebus.unicode
recipes
registry
reinstallr
relaimpo
relimp
rematch
rematch2
reprex
reshape
reshape2
reticulate
retimes
rgdal
rgeos
rgl
RgoogleMaps
rio
rJava
rjson
RJSONIO
rlang
rlist
rlme
rMaps
rmarkdown
Rmisc
Rmpfr
rnaturalearth
rnaturalearthdata
rnn
robotstxt
robust
robustbase
robustlmm
ROCR
rowr
roxygen2
rpart
rpart.plot
RPostgreSQL
rprojroot
rrcov
rsample
rsconnect
RSpectra
RSQLite
rstan
rstantools
rstudioapi
Rttf2pt1
rtweet
rvest
rvg
sandwich
satellite
scales
scatterplot3d
scico
SDMTools
selectr
seriation
servr
sf
sfsmisc
shape
shiny
shinyAce
shinyBS
shinydashboard
shinyjs
shinystan
shinythemes
sigmoid
sjlabelled
sjmisc
sjPlot
sjstats
slam
sna
snakecase
SnowballC
sourcetools
sp
spacetime
spacyr
sparklyr
SparseM
sparsepp
spatial
spData
spiderbar
splines
splus2R
spotifyr
SQUAREM
stabs
StanHeaders
stargazer
stars
statmod
statnet.common
stats
stats4
stellenbosch
stm
stmCorrViz
stminsights
stopwords
storr
strapgod
strengejacke
stringdist
stringi
stringr
styler
summarytools
survey
survival
svglite
tau
tcltk
tensorA
tensorflow
testthat
text2vec
textcat
textmineR
tfruns
TH.data
thief
threejs
tibble
tictoc
tidygraph
tidylog
tidyquant
tidyr
tidyselect
tidytext
tidyverse
tiff
timeDate
timetk
tinytex
tm
TMB
tokenizers
tools
topicmodels
transformr
tree
treemap
triebeard
trimcluster
tripR
trustpilotR
tseries
TSP
TTR
tweenr
ucminf
udapi
udpipe
udunits2
ungeviz
units
urca
urltools
uroot
usethis
utf8
utils
uuid
vipor
viridis
viridisLite
visibly
visNetwork
vlad
webshot
whisker
widyr
withr
wordcloud
wordcloud2
WRS2
xaringan
xfun
xgboost
XML
xml2
xsc
xtable
xts
yaml
yardstick
yelpR
yesno
zeallot
zip
zoo
ztable
